#{"t_start": 1701185576.1688473, "env_id": null}
r,l,t
-9.8,4,16.499645
2.2,14,16.539669
-8.0,15,16.582157
-9.8,11,16.606157
-7.0,13,16.63417
-7.8,11,16.67521
-8.5,9,16.708211
-9.8,12,16.751725
-8.0,13,16.779726
-8.8,13,16.808725
-8.0,15,16.840729
1.2,10,16.87724
-8.8,11,16.91724
-7.8,12,16.960855
-9.8,15,17.014577
-8.0,17,17.076635
-8.0,16,17.133391
-8.8,16,17.167463
-8.0,15,17.220464
-8.0,9,17.253977
-8.7,13,17.301976
-7.0,16,17.358058
-9.8,8,17.387836
-8.0,10,17.411414
-7.8,10,17.435412
-9.5,10,17.458922
-8.0,16,17.492924
-8.0,13,17.521923
-9.8,10,17.550048
-8.7,12,17.577048
-8.7,7,17.594049
-8.0,16,17.631048
-7.8,13,17.659307
3.2,13,17.688308
-8.8,15,17.722311
-8.7,13,17.77334
2.0,10,17.796342
-7.0,14,17.82734
3.0,14,17.858411
-8.7,9,17.894411
-8.0,13,17.944416
-8.8,14,17.975963
-8.0,18,18.014505
-9.8,9,18.03651
-8.8,15,18.084046
-7.8,12,18.118046
-7.7,14,18.176764
-7.0,12,18.212548
-9.8,4,18.230548
-8.0,12,18.260239
-8.7,10,18.285239
-7.8,11,18.31624
-7.0,12,18.347746
-7.7,15,18.386807
-8.8,13,18.426809
-9.8,10,18.465326
-8.0,16,18.527326
-9.8,13,18.56985
-8.0,10,18.598851
-7.0,16,18.642865
-9.6,13,18.675377
-7.7,24,18.731372
-8.7,10,18.762887
-9.8,9,18.786887
-9.8,13,18.817887
-7.8,10,18.843892
-8.0,11,18.871403
-8.0,11,18.899403
-8.8,13,18.932917
-6.8,16,18.976682
-8.0,13,19.00992
-8.7,12,19.060988
-7.0,12,19.088983
-8.0,13,19.121983
-8.7,8,19.141988
-8.0,14,19.174833
-8.7,8,19.195378
-8.5,12,19.225934
-8.0,16,19.263454
-8.7,9,19.287455
-8.0,13,19.317455
-8.8,16,19.352972
-9.8,15,19.385514
-8.0,16,19.442621
-8.0,12,19.580656
-8.0,13,19.622655
-8.3,15,19.656176
-8.8,12,19.689169
-9.0,12,19.715169
-8.0,7,19.732168
-8.8,18,19.770195
-8.8,10,19.793196
-8.0,12,19.820211
-9.8,12,19.8462
-8.0,13,19.874712
-9.8,9,19.89571
-8.0,15,19.92771
-9.8,13,19.955223
-8.7,5,19.967225
-8.0,14,20.021454
-7.8,12,20.069535
-9.6,16,20.107534
-8.0,15,20.142537
-8.0,9,20.163646
-9.8,11,20.189196
-7.8,14,20.219531
-9.6,8,20.237815
-8.6,14,20.267898
-8.0,15,20.299899
-7.8,10,20.3229
-8.7,14,20.353413
-8.8,13,20.381413
3.2,14,20.431165
-9.6,11,20.455233
-9.8,7,20.472222
-8.8,10,20.50922
-8.7,10,20.532219
-9.8,8,20.562333
-7.0,12,20.589343
-8.8,14,20.622332
-8.8,13,20.651338
-8.8,16,20.685844
-8.8,10,20.722844
-8.8,12,20.748849
-8.7,6,20.763359
-8.8,14,20.793359
-7.8,14,20.825358
-8.5,11,20.849364
-8.0,12,20.876875
-8.7,11,20.918876
-8.0,12,20.944881
-8.8,13,20.97339
-9.8,13,21.002938
-9.8,13,21.031945
-8.7,15,21.085315
1.4,12,21.129314
-9.8,13,21.156831
-9.8,11,21.181957
-8.0,15,21.214913
0.2,13,21.243486
-9.8,6,21.257006
-7.7,13,21.285992
-9.8,8,21.317994
-8.0,13,21.348001
-8.0,14,21.380512
-8.7,8,21.417119
-8.7,14,21.449124
-8.8,14,21.480318
2.2,13,21.508879
-7.8,17,21.544885
-8.8,16,21.579396
-9.8,14,21.611396
-7.7,16,21.6474
-7.0,12,21.675911
-8.0,14,21.708932
-9.8,13,21.740917
-8.8,12,21.778429
3.0,12,21.816429
-8.7,9,21.839432
