#{"t_start": 1701292000.2056463, "env_id": null}
r,l,t
-11.24,7,26.648195
-10.64,10,26.680707
-11.6,10,26.716278
-10.99,13,26.758172
-11.13,14,26.803383
-10.68,11,26.838954
-10.95,12,26.878473
-10.2,6,26.898474
-11.05,13,26.941473
-10.4,8,26.968532
-11.27,7,26.991534
-11.05,5,27.023304
-10.95,4,27.049897
-11.04,5,27.068404
-9.57,11,27.104404
-10.39,8,27.130405
-10.9,11,27.16592
-10.96,13,27.208918
-9.39,9,27.237923
-10.95,13,27.280432
-11.92,13,27.322435
-10.93,12,27.360947
-9.82,13,27.402952
-9.84,13,27.444953
-9.74,5,27.462464
-11.9,12,31.145198
-10.91,12,31.21671
-10.97,13,31.258711
-10.52,9,31.287241
-10.04,5,31.305223
-10.98,13,31.346234
-10.93,12,31.383735
-10.04,8,31.409736
-11.63,10,31.442735
-10.94,12,31.480264
-10.88,12,31.517267
-10.9,11,31.553271
-10.26,10,31.612781
-9.74,5,31.629779
-10.7,11,31.694299
-11.82,12,31.732297
-10.75,14,31.782815
-11.79,12,31.846776
-10.94,12,31.910404
-10.49,9,31.963932
-11.01,14,32.011032
-11.0,13,32.053207
-11.95,13,32.105826
-10.75,11,32.175335
-11.03,13,32.254343
-10.63,10,32.288855
-10.9,11,32.358859
-10.94,12,32.404374
-9.43,9,32.436374
-10.94,12,32.476891
-10.91,12,32.540891
-11.92,13,32.600404
-11.46,9,32.642404
-10.94,13,32.684922
-10.97,13,32.72692
-10.94,13,32.803436
-9.8,12,32.843031
-10.97,13,32.886105
-10.72,11,32.922194
-10.74,11,32.959747
-9.83,13,33.002259
-11.14,6,33.023011
-10.92,12,33.063682
-10.87,13,33.106576
-10.35,8,33.153131
-10.92,12,33.19364
-9.48,10,33.22764
-10.4,8,33.254657
-11.0,13,33.297169
-10.81,12,33.336156
-11.05,14,33.380682
-10.9,11,33.41767
-10.97,13,33.459678
-9.83,13,33.536194
-11.14,6,33.572706
-10.99,13,33.64971
-11.92,13,33.693221
-9.83,13,33.73522
-10.9,11,33.771739
-10.93,12,33.81174
-9.7,12,33.868485
-10.61,10,33.902487
-11.99,13,33.946059
-11.59,10,33.979585
-11.27,7,34.012578
-10.92,12,34.066589
