#{"t_start": 1701189706.7659142, "env_id": null}
r,l,t
-9.8,13,18.561425
-7.8,12,18.604556
-8.7,13,18.633563
-6.0,17,18.669111
-7.0,12,18.714202
-9.8,5,18.733203
-8.5,17,18.790974
-8.0,15,18.823033
-8.7,16,18.857035
-8.8,8,18.876034
-8.7,11,18.916548
-8.0,11,18.956549
-8.5,22,19.036064
-7.7,12,19.080065
-7.7,16,19.13858
-7.7,15,19.170577
-8.1,13,19.198599
-7.7,11,19.224091
-6.7,17,19.260089
-7.7,11,19.28409
-7.0,8,19.301599
-7.6,12,19.328606
-8.0,13,19.356606
-9.8,11,19.380606
-9.8,8,19.410735
-7.8,11,19.450734
-9.8,14,19.481905
-8.0,12,19.525125
-8.0,14,19.576355
-8.7,7,19.602873
2.2,13,19.649447
-9.5,15,19.702962
-7.0,13,19.730913
-7.5,12,19.75792
-9.8,6,19.771912
-8.0,10,19.808429
-9.8,9,19.828431
-8.8,14,19.87943
-9.8,11,19.902945
-9.8,8,19.922955
-8.8,16,19.958943
-9.8,14,19.988952
-8.0,16,20.023073
-9.8,13,20.052073
-8.0,10,20.074073
-8.0,20,20.11617
-9.8,12,20.143169
-8.8,13,20.191174
-8.8,10,20.212684
-8.0,15,20.267684
-8.8,12,20.294691
-8.8,13,20.342199
-8.8,13,20.389204
-8.8,12,20.432715
-8.5,12,20.475717
-8.0,15,20.529389
-8.0,15,20.583133
-7.8,12,20.608648
-5.0,18,20.646304
-5.0,12,20.672871
-9.8,13,20.700876
-8.0,14,20.730925
-8.7,9,20.752926
-8.8,11,20.793687
-8.7,16,20.850741
-6.0,12,20.894744
-8.8,14,20.945253
-8.0,22,21.019769
-8.7,6,21.03377
-9.8,10,21.056769
-7.8,12,21.082769
-6.8,14,21.112894
-8.0,11,21.136895
-8.0,14,21.166898
-7.0,13,21.194904
-8.0,12,21.221411
-8.8,9,21.24141
-8.7,13,21.290415
-9.5,7,21.306923
-8.0,17,21.342924
-8.8,15,21.374924
-8.0,6,21.397929
-8.7,8,21.42844
-8.0,12,21.472439
-7.6,13,21.518706
-9.8,16,21.553229
-7.6,13,21.581228
-7.0,11,21.60547
-8.6,13,21.634026
-6.0,16,21.667015
-8.0,17,21.703025
-9.8,10,21.726202
-8.8,15,21.780017
-9.8,5,21.792534
-7.5,15,21.824064
-9.5,6,21.839043
-8.7,12,21.865047
-9.8,12,21.891049
-7.0,15,21.923134
-9.8,5,21.937145
-9.5,16,21.972133
-9.6,12,22.01565
-9.8,12,22.062649
0.4,12,22.088656
-9.8,13,22.117166
-7.8,14,22.147168
-8.7,10,22.184167
-8.7,15,22.238188
-9.8,8,22.268188
-8.7,15,22.311704
-7.8,12,22.355704
-7.8,13,22.403215
-8.8,13,22.450221
-8.8,15,22.577845
-6.8,14,22.607491
-7.0,17,22.643468
-8.0,11,22.667468
-7.7,15,22.700044
-7.8,10,22.737561
-8.0,16,22.795163
-8.7,19,22.863904
-8.0,17,22.909419
-9.8,12,22.935419
-7.0,12,22.979421
-8.0,9,23.000423
-9.8,8,23.018935
-8.0,11,23.042933
-9.8,14,23.094939
-7.5,15,23.152452
-8.7,11,23.176423
-8.0,7,23.192441
-8.8,15,23.223953
-7.0,16,23.258828
-8.8,13,23.286799
-8.0,14,23.317305
-8.7,8,23.335305
-9.8,20,23.378306
-7.7,9,23.399316
-9.6,11,23.422824
-8.8,16,23.457826
-9.5,16,23.492827
-9.8,10,23.514341
-6.8,11,23.53934
-8.0,13,23.566867
-7.8,12,23.592747
-9.8,13,23.621174
-8.0,9,23.641732
-8.8,15,23.673725
-7.0,14,23.704265
-8.8,15,23.759273
-7.0,17,23.80196
-8.8,12,23.846039
-9.8,13,23.874039
-8.0,9,23.909555
-8.0,12,23.953556
-9.8,14,24.004064
-9.5,13,24.052073
-6.8,13,24.099078
-9.8,19,24.146599
-7.8,13,24.194596
-8.0,13,24.243102
-8.7,12,24.269109
-8.0,14,24.299108
-5.6,14,24.329213
2.2,15,24.362204
-8.8,7,24.379205
-7.7,13,24.40773
-8.0,16,24.442718
-8.7,14,24.472719
-9.8,11,24.497724
-9.8,12,24.524246
-8.0,17,24.562233
-8.8,12,24.588336
-7.0,16,24.623675
-7.8,16,24.658022
2.2,13,24.687021
-8.0,13,24.73408
-8.0,10,24.771081
-8.0,12,24.816143
-9.8,8,24.84714
-9.8,14,24.899489
-8.6,14,24.929002
-8.8,11,24.954002
-9.8,10,24.976002
-6.0,19,25.016515
-9.6,12,25.061516
-8.8,12,25.105909
-8.0,13,25.153908
-7.8,14,25.206422
-9.8,6,25.229423
-8.6,11,25.269423
-8.0,16,25.32548
-8.0,17,25.364481
-6.0,15,25.419528
-9.8,13,25.467528
-6.5,13,25.514551
-9.8,12,25.559554
-9.6,12,25.603263
-8.0,9,25.637344
-8.7,5,25.657346
-8.8,12,25.700912
-7.7,12,25.745423
-8.7,14,25.796429
-6.8,11,25.836133
-9.8,14,25.866707
-9.6,11,25.891712
-8.0,14,25.946223
-9.5,13,25.993227
-8.0,15,26.047278
-6.8,13,26.095292
-8.0,14,26.145796
-7.0,21,26.221309
-7.7,12,26.26531
-8.8,15,26.31883
-7.0,14,26.369831
-7.8,14,26.422343
-8.8,7,26.448344
-7.7,13,26.495351
-7.7,12,26.540377
-8.7,14,26.591384
-8.6,11,26.619457
-9.8,10,26.658001
-8.7,18,26.696371
-6.0,14,26.72688
-9.8,9,26.747436
-8.0,16,26.805443
4.0,13,26.833621
1.2,10,26.871196
-7.8,12,26.91442
-9.8,13,26.962976
-9.8,15,27.016492
-7.0,13,27.063493
-9.8,11,27.104496
-5.8,18,27.160519
2.4,12,27.203849
-7.0,18,27.265333
-6.0,13,27.293339
-7.0,13,27.321632
-8.8,9,27.34163
-8.6,15,27.375625
-7.0,13,27.422131
-7.0,17,27.483131
-8.8,16,27.541645
-9.8,8,27.571645
-8.8,10,27.608161
2.0,12,27.651571
-7.0,18,27.711749
-8.8,14,27.762747
1.4,12,27.805753
-7.8,12,27.849269
-9.5,16,27.909462
-8.8,11,27.95
-8.8,8,27.981
-8.8,11,28.021035
-7.6,14,28.074035
-8.0,7,28.101045
-9.8,10,28.13755
-7.0,16,28.194556
-7.0,11,28.235064
-7.0,11,28.275065
-8.0,11,28.315581
-9.5,17,28.372582
-8.0,13,28.400586
-7.8,13,28.447096
-8.7,13,28.4951
-8.7,10,28.531614
-7.0,15,28.586615
-9.8,7,28.613129
-8.6,16,28.668664
-8.8,14,28.719158
-8.0,14,28.770409
-8.0,15,28.917549
-8.0,17,28.954021
-8.7,16,28.988568
-9.8,12,29.016085
-8.8,15,29.05469
-5.8,18,29.1142
-8.8,18,29.180194
-8.6,18,29.243712
-6.8,15,29.298715
-6.0,12,29.324232
-7.0,18,29.384225
-8.8,16,29.441737
-7.7,15,29.494743
-8.7,8,29.525254
-8.8,10,29.563256
-9.8,13,29.609768
-8.8,13,29.656768
-7.8,17,29.718374
-6.8,15,29.772487
3.0,14,29.823003
-8.6,13,29.871005
