#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
-1.8,11,28.111242
-0.5,7,28.126245
2.9,5,28.137246
0.8,8,28.153757
-0.3,7,28.168758
0.7,6,28.190758
-2.2,11,28.213332
0.7,6,28.225337
-1.5,8,28.241846
-5.3,12,28.26576
0.5,6,28.289631
0.5,6,28.30264
2.5,4,28.312172
0.7,6,28.324178
0.7,6,28.337178
-1.5,8,28.353771
-0.5,7,28.368786
1.7,5,28.379772
0.5,6,28.392772
1.5,5,28.403773
-1.9,10,28.424321
-1.3,8,28.452831
0.7,6,28.465831
0.5,6,28.478833
-7.6,15,28.532835
1.5,5,28.544346
0.1,8,28.560345
-2.4,12,28.584346
-0.3,7,28.599346
-0.5,7,28.625352
-2.3,9,28.658858
-5.6,13,28.704858
-1.8,9,28.723857
-2.0,11,28.745375
1.5,5,28.757373
1.0,8,28.773373
-0.8,8,28.790374
-2.3,11,28.812385
-5.5,12,28.83638
-1.3,8,28.852889
0.7,6,28.865889
1.5,5,28.876889
-1.3,8,28.893618
2.5,4,28.902631
-1.3,8,28.919631
2.5,4,28.928637
0.7,6,28.942147
-5.3,12,28.96621
1.5,5,28.977209
-0.3,7,28.992212
1.5,5,29.004211
-0.8,8,29.033218
-2.0,11,29.056295
-6.3,13,29.08287
-0.3,7,29.10887
-1.3,8,29.126875
-0.5,7,29.144386
-0.3,7,29.171386
1.7,5,29.182385
1.5,5,29.194386
1.5,5,29.206386
0.5,6,29.231991
-1.3,8,29.249508
-0.5,7,29.264692
1.5,5,29.276691
-1.8,9,29.295253
-1.3,8,29.312252
-7.7,16,29.34358
-0.5,7,29.359152
2.5,4,29.369152
1.2,6,29.382152
-8.3,15,29.412152
1.5,5,29.423152
-0.3,7,29.438161
-0.3,7,29.453675
-3.3,10,29.474685
1.5,5,29.486674
-0.5,7,29.501675
0.7,6,29.514675
0.5,6,29.527677
1.5,5,29.538678
2.5,4,29.549193
0.7,6,29.562192
-1.3,8,29.579192
2.5,4,29.589192
-1.7,12,29.613192
0.2,9,29.632197
1.5,5,29.643705
0.5,6,29.657705
0.7,6,29.670706
-6.8,14,29.699705
1.7,5,29.710706
-2.3,9,29.730711
-2.3,9,29.749222
-6.3,13,29.776234
1.5,5,29.787222
-1.5,8,29.826225
0.5,6,29.838225
2.5,4,29.848739
-2.3,9,29.867739
-2.5,9,29.885739
-2.3,9,29.904741
-0.5,7,29.920739
0.7,6,29.933745
-2.3,9,29.953255
-1.6,9,29.972255
-4.8,14,30.000255
0.7,6,30.014256
1.7,5,30.025261
0.7,6,30.03826
0.7,6,30.052385
1.7,5,30.064385
2.8,6,30.078386
-4.0,13,30.125127
-0.3,7,30.150762
-1.3,8,30.175761
1.5,5,30.187762
-0.5,7,30.202762
0.7,6,30.216761
-0.3,7,30.231766
-2.6,10,30.252838
0.7,6,30.266397
-1.0,10,30.305117
0.7,6,30.31866
-4.5,11,30.340928
-0.3,7,30.35693
1.5,5,30.368486
-0.5,7,30.383485
-2.5,9,30.403621
0.5,6,30.416622
0.7,6,30.429627
-7.3,14,30.458704
0.5,6,30.471704
-5.3,12,30.496719
0.7,6,30.510705
0.1,8,30.52871
1.7,5,30.540874
1.5,5,30.552875
-6.3,13,30.580874
1.1,7,30.596874
-3.3,10,30.617874
-10.7,19,30.6554
-0.5,7,30.671394
2.5,4,30.682392
-2.3,9,30.701392
-0.5,7,30.727396
-1.3,8,30.757909
0.5,6,30.771908
-0.5,7,30.786906
1.5,5,30.800906
-2.3,9,30.820905
-0.5,7,30.836909
-0.3,7,30.851422
2.2,5,30.863422
0.7,6,30.87742
-1.3,8,30.907421
-1.5,8,30.924421
-0.5,7,30.939934
0.2,7,30.955942
-4.3,11,30.978957
2.8,6,30.992943
1.7,5,31.004945
-1.3,8,31.022943
1.5,5,31.034947
2.5,4,31.044458
-0.5,7,31.060457
1.2,6,31.074326
-1.4,11,31.097381
1.5,5,31.108907
-0.3,7,31.123895
1.7,5,31.135903
-0.3,7,31.152413
0.5,6,31.165414
-0.3,7,31.194414
2.5,4,31.205414
-0.5,7,31.226418
1.5,5,31.239923
-3.3,10,31.26167
